"Source:","/Users/karl/Workspace/KiCad/Crimps/crimps/k2.sch"
"Date:","Thursday, November 18, 2021 at 08:59:49 PM"
"Tool:","Eeschema (5.1.10-1-10_14)"
"Generator:","/private/var/folders/6g/062y2qc95n76y3fy2wkwz5l40000gn/T/AppTranslocation/AF1E8601-DF93-40C0-9ED7-950A2D177542/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R14","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R15","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R16","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R17","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R18","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R19","220k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R20","220k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R21","220k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R22","220k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R23","10k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R24","1.0M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R25","10k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R26","1.0M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R27","1.5M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R28","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R29","1.0M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R30","470k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R31","4.7k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R32","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","22u","k2-eagle-import:C-USC0805","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"2","1","C3","100p","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","4","C4, C5, C8, C9","100n","k2-eagle-import:C-USC0402","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","2","C6, C7","100n","k2-eagle-import:C-USC0805","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","1","C10","4.7u","k2-eagle-import:C-USC0603","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","1","C11","100n","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","1","C12","10n","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","2","D1, D2","S1JL","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"9","10","D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"10","2","IC1, IC3","TL074","Amplifier_Operational:TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"11","1","IC2","TL072","Amplifier_Operational:TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"12","12","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12","PJ301_THONKICONN6","k2-eagle-import:PJ301_THONKICONN6","k2:WQP_PJ_301M6",""
"13","3","J13, J14, J15","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"14","3","J16, J17, J18","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"15","1","JP1","M05X2PTH","k2-eagle-import:M05X2PTH","k2:AVR_ICSP",""
"16","1","Q1","MMBFJ309","device:Q_NJFET_SDG","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"17","2","Q2, Q3","MMBT3904","device:Q_NPN_EBC","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"18","7","R1, R2, R3, R4, R5, R6, R8","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"19","7","R7, R14, R16, R17, R18, R28, R32","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"20","6","R9, R10, R11, R12, R13, R15","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"21","4","R19, R20, R21, R22","220k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"22","2","R23, R25","10k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"23","3","R24, R26, R29","1.0M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"24","1","R27","1.5M","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"25","1","R30","470k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"26","1","R31","4.7k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
